id,"date","label","value"
196,"2016-04-01","Notes (L)","60.3080"
197,"2016-05-01","Notes (L)","325.2430"
198,"2016-06-01","Notes (L)","157.8270"
199,"2016-07-01","Notes (L)","59.8650"
200,"2016-08-01","Notes (L)","283.9820"
201,"2016-09-01","Notes (L)","162.8270"
202,"2016-10-01","Notes (L)","153.2280"
203,"2016-11-01","Notes (L)","179.8260"
204,"2016-12-01","Notes (L)","70.9990"
205,"2017-01-01","Notes (L)","269.5000"
206,"2017-02-01","Notes (L)","165.6300"
207,"2017-03-01","Notes (L)","169.5570"
208,"2017-04-01","Notes (L)","60.3610"
209,"2017-05-01","Notes (L)","303.4880"
210,"2017-06-01","Notes (L)","157.2770"
211,"2017-07-01","Notes (L)","172.7920"
212,"2017-08-01","Notes (L)","179.3370"
213,"2017-09-01","Notes (L)","67.9970"
214,"2017-10-01","Notes (L)","248.5160"
215,"2017-11-01","Notes (L)","170.0790"
216,"2017-12-01","Notes (L)","70.9930"
217,"2018-01-01","Notes (L)","278.0370"
218,"2018-02-01","Notes (L)","188.8790"
219,"2018-03-01","Notes (L)","59.9980"
220,"2018-04-01","Notes (L)","324.7470"
221,"2018-05-01","Notes (L)","214.6050"
222,"2018-06-01","Notes (L)","69.9980"
223,"2018-07-01","Notes (L)","306.8330"
224,"2018-08-01","Notes (L)","212.5700"
225,"2018-09-01","Notes (L)","85.9990"
226,"2018-10-01","Notes (L)","291.9910"
227,"2018-11-01","Notes (L)","229.3420"
228,"2018-12-01","Notes (L)","206.9960"
229,"2019-01-01","Notes (L)","208.0005"
230,"2019-02-01","Notes (L)","217.0918"
231,"2019-03-01","Notes (L)","91.0006"
232,"2019-04-01","Notes (L)","326.9240"
233,"2019-05-01","Notes (L)","244.0599"
234,"2019-06-01","Notes (L)","95.0253"
235,"2019-07-01","Notes (L)","334.8306"
236,"2019-08-01","Notes (L)","125.4160"
237,"2019-09-01","Notes (L)","345.6592"
238,"2019-10-01","Notes (L)","227.6831"
239,"2019-11-01","Notes (L)","125.7783"
240,"2019-12-01","Notes (L)","342.0432"
241,"2020-01-01","Notes (L)","226.1633"
242,"2020-02-01","Notes (L)","111.9075"
243,"2020-03-01","Notes (L)","351.9442"
244,"2020-04-01","Notes (L)","238.0225"
245,"2020-05-01","Notes (L)","145.1349"
246,"2020-06-01","Notes (L)","403.8000"
247,"2020-07-01","Notes (L)","280.9000"
248,"2020-08-01","Notes (L)","327.6000"
249,"2020-09-01","Notes (L)","300.3000"
