Date,"Synthetic 10-Year Yield","Synthetic 2-Year Yield","Synthetic 5-Year Yield"
1973-03-09,0.027946096424007,0.02,0.025507490008257
1973-03-16,0.027946096424007,0.02,0.025507490008257
1973-03-23,0.027946096424007,0.02,0.025507490008257
1973-03-30,0.027946096424007,0.02,0.025507490008257
1973-04-06,0.027946096424007,0.02,0.025507490008257
1973-04-13,0.027946096424007,0.02,0.025507490008257
1973-04-20,0.027946096424007,0.02,0.025507490008257
1973-04-27,0.027946096424007,0.02,0.025507490008257
1973-05-04,0.027946096424007,0.02,0.025507490008257
1973-05-11,0.027946096424007,0.02,0.025507490008257
1973-05-18,0.027946096424007,0.02,0.025507490008257
1973-05-24,0.027946096424007,0.02,0.025507490008257
1973-06-01,0.027946096424007,0.02,0.025507490008257
1973-06-08,0.027946096424007,0.02,0.025507490008257
1973-06-15,0.027946096424007,0.02,0.025507490008257
